country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,TAHOUA,ABALAK,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,29,31,60,28,31,59,1,Pass,high,0,0,0,1,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.02
NIG,TAHOUA,ABALAK,NIG-2025-10-01_nOPV_sNID,nOPV2,Rnd1,19,2026-01-11T00:00:00Z,2026-01-15,2026-01-16,14,46,60,12,45,57,3,Pass,high,0,0,3,0,0,0,0,45,0,1,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
NIG,TAHOUA,ABALAK,nVPO_Maradi,nOPV2,Rnd1,21,2021-06-14T00:00:00Z,2021-06-18,2021-06-19,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,56.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,ABALAK,nVPO_Maradi,nOPV2,Rnd2,21,2021-07-14T00:00:00Z,2021-07-18,2021-07-18,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,GOTHEYE-mOPV,mOPV,Rnd1,21,2020-09-24T00:00:00Z,2020-09-28,2020-09-29,20,40,60,20,38,58,2,Pass,high,0,0,2,0,0,0,0,71.67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
NIG,TAHOUA,BAGAROUA,GOTHEYE-mOPV,mOPV,Rnd2,21,2020-10-29T00:00:00Z,2020-11-02,2020-11-03,34,26,60,34,25,59,1,Pass,high,0,0,0,1,0,0,0,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.02
NIG,TAHOUA,BAGAROUA,NIG-2023-05-01_nOPV,nOPV2,Rnd2,20,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,31,29,60,30,29,59,1,Pass,high,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
NIG,TAHOUA,BAGAROUA,NIG-2024-06-01_nOPV,nOPV2,Rnd1,21,2024-07-12T00:00:00Z,2024-07-16,2024-07-17,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,NIG-2024-06-01_nOPV,nOPV2,Rnd2,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,39,21,60,38,21,59,1,Pass,high,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
NIG,TAHOUA,BAGAROUA,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,20,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,TAHOUA,BAGAROUA,nVPO_Maradi,nOPV2,Rnd1,21,2021-06-14T00:00:00Z,2021-06-18,2021-06-19,29,31,60,27,28,55,5,Fail,moderate,0,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.08
