country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,FARANAH,DABOLA,bOPV,bOPV,Rnd1,21,2021-10-24T00:00:00Z,2021-10-28,2021-10-29,27,33,60,26,32,58,2,Pass,high,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
GUI,FARANAH,DINGUIRAYE,GUI-2023-09-01_nOPV,nOPV2,Rnd0,11,2023-09-08T00:00:00Z,2023-09-12,2023-09-13,27,33,60,18,25,43,17,Fail,poor,0,2,2,1,0,9,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11.76,11.76,5.88,0,52.94,17.65,0.28
GUI,FARANAH,DINGUIRAYE,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,27,33,60,15,24,39,21,Fail,very poor,0,10,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.62,4.76,0,0,0,47.62,0.35
GUI,FARANAH,DINGUIRAYE,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,21,39,60,19,34,53,7,Fail,moderate,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,57.14,14.29,0.12
GUI,FARANAH,DINGUIRAYE,GUI-2024-06-LIDs_nOPV,nOPV2,Rnd1,20,2024-09-06T00:00:00Z,2024-09-10,2024-09-11,32,28,60,27,27,54,6,Fail,moderate,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.1
GUI,FARANAH,DINGUIRAYE,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,26,34,60,24,33,57,3,Pass,high,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0.05
GUI,FARANAH,DINGUIRAYE,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,29,31,60,27,30,57,3,Pass,high,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
GUI,FARANAH,DINGUIRAYE,KANKAN-mOPV,mOPV,Rnd1,27,2020-09-06T00:00:00Z,2020-09-10,2020-10-10,32,28,60,25,25,50,10,Fail,poor,5,0,1,0,0,3,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,50,0,10,0,0,30,10,0.17
GUI,FARANAH,DINGUIRAYE,KANKAN-mOPV,mOPV,Rnd2,12,2020-12-19T00:00:00Z,2020-12-23,2020-12-24,32,28,60,29,27,56,4,Fail,moderate,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,25,25,50,0,0,0,0,0.07
GUI,FARANAH,DINGUIRAYE,bOPV,bOPV,Rnd1,22,2021-10-24T00:00:00Z,2021-10-28,2021-10-29,23,37,60,19,29,48,12,Fail,poor,3,1,8,0,0,0,0,0,3,0,0,1,0,4,0,3,0,0,0,0,0,0,25,8.33,66.67,0,0,0,0,0.2
GUI,FARANAH,FARANAH,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,20,40,60,18,34,52,8,Fail,moderate,0,0,4,4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0.13
GUI,FARANAH,FARANAH,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,25,35,60,24,35,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
GUI,FARANAH,FARANAH,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,20,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,34,26,60,29,23,52,8,Fail,moderate,0,0,3,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.5,0,0,62.5,0,0.13
GUI,FARANAH,FARANAH,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI,FARANAH,FARANAH,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,21,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,27,33,60,26,33,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,FARANAH,FARANAH,KANKAN-mOPV,mOPV,Rnd1,21,2020-08-06T00:00:00Z,2020-08-10,2020-09-10,28,32,60,23,27,50,10,Fail,poor,0,0,4,0,0,0,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,0.17
GUI,FARANAH,FARANAH,KANKAN-mOPV,mOPV,Rnd2,21,2020-12-19T00:00:00Z,2020-12-23,2020-12-24,28,32,60,27,29,56,4,Fail,moderate,0,0,4,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.07
GUI,FARANAH,FARANAH,bOPV,bOPV,Rnd1,21,2021-10-26T00:00:00Z,2021-10-30,2021-10-31,30,30,60,29,29,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
