country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_in_playground,abs_reason_other,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
LIB,MONTSERRADO,CAREYSBURG DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,16,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,34,26,60,34,24,58,2,Pass,high,0,0,2,0,0,0,0,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
LIB,MONTSERRADO,CAREYSBURG DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,13,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,71.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,CAREYSBURG DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,21,39,60,20,34,54,6,Fail,moderate,0,1,2,1,0,0,2,100,0,1,0,0,0,1,0,0,0,0,0,0,0,16.67,33.33,16.67,0,0,33.33,0.1
LIB,MONTSERRADO,CAREYSBURG DISTRICT,Liberia,nOPV2,Rnd2,21,2021-06-01T00:00:00Z,2021-06-05,2021-06-06,24,36,60,23,34,57,3,Pass,high,0,0,1,0,0,2,0,98.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.33,0,0,66.67,0,0.05
LIB,MONTSERRADO,CENTRAL MONROVIA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,CENTRAL MONROVIA DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,COMMONWEALTH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,19,41,60,9,18,27,33,Fail,very poor,0,20,1,0,0,0,12,15,0,0,1,0,0,0,0,0,0,0,0,0,0,60.61,3.03,0,0,0,36.36,0.55
LIB,MONTSERRADO,COMMONWEALTH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,24,36,60,15,27,42,18,Fail,poor,0,18,0,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.3
LIB,MONTSERRADO,COMMONWEALTH DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,96.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,SOMALIA DRIVE DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,28,32,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
LIB,MONTSERRADO,SOMALIA DRIVE DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,20,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,ST PAUL RIVER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,27,33,60,6,19,25,35,Fail,very poor,0,32,3,0,0,0,0,45,1,0,0,1,0,1,0,0,0,0,0,0,0,91.43,8.57,0,0,0,0,0.58
LIB,MONTSERRADO,ST PAUL RIVER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,19,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,ST PAUL RIVER DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,81.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,MONTSERRADO,ST PAUL RIVER DISTRICT,Liberia,nOPV2,Rnd1,17,2021-04-04T00:00:00Z,2021-04-08,2021-04-08,21,19,40,17,16,33,27,Fail,very poor,0,6,0,0,0,0,21,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,77.78,0.68
LIB,MONTSERRADO,ST PAUL RIVER DISTRICT,Liberia,nOPV2,Rnd2,21,2021-06-02T00:00:00Z,2021-06-06,2021-06-07,29,31,60,15,22,37,23,Fail,very poor,3,17,3,0,0,0,0,91.67,0,0,0,3,0,0,0,0,0,1,2,0,13.04,73.91,13.04,0,0,0,0,0.38
LIB,MONTSERRADO,TODEE DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd1,19,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,25,35,60,24,34,58,2,Pass,high,0,0,2,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
LIB,MONTSERRADO,TODEE DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd2,17,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,29,21,50,29,21,50,10,Fail,poor,0,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2
LIB,MONTSERRADO,TODEE DISTRICT,LBR-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,28,32,60,27,31,58,2,Pass,high,0,0,2,0,0,0,0,100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
